Countries,2015,2010,2005,2000
Albania,2,5,13,38
Australia,7,2,4,2
Bangladesh,8563,14168,23058,38852
Brazil,896,1567,4656,8908
Burundi,2503,3840,5029,5243
Canada,6,6,5,8
Chile,7,4,11,26
China,5461,8395,17065,30575
Colombia,213,352,818,1292
Dominican Republic,268,378,463,632
Ecuador,86,91,128,275
Ethiopia,16472,25495,38432,60687
Fiji,17,19,19,29
Germany,10,13,3,15
Guatemala,907,1257,1935,2683
Haiti,2001,2857,3393,4807
India,106367,164291,247667,341471
Kenya,5339,7328,10351,14442
Mexico,989,1302,3123,4295
Morocco,899,1369,1828,2939
New Zealand,3,0,2,2
Nigeria,81127,90850,103294,130119
Philippines,5295,6072,7606,10068
Poland,1,5,7,7
Russian Federation,133,180,261,512
Saudi Arabia,55,97,165,292
Serbia,2,0,8,14
Solomon Islands,29,36,35,38
South Africa,3868,5545,7659,7979
Uganda,7238,10034,14541,19561
Ukraine,276,181,87,167
United States of America,404,582,626,637
