country,2000,2005,2010,2015
Albania,3159,3025,2987,3030
Australia,19054,20233,21516,22752
Bangladesh,132151,144139,156119,168958
Brazil,174316,186021,195835,204260
Burundi,6716,7789,9121,10743
Canada,31100,32387,33760,35100
Chile,15175,15980,16760,17509
China,1268302,1302285,1336681,1367486
Colombia,38911,41488,44206,46737
Dominican Republic,8469,9165,9824,10479
Ecuador,12446,13663,14791,15869
Ethiopia,64366,74355,86043,99466
Fiji,805,837,876,910
Germany,82184,82440,81645,80855
Guatemala,11086,12183,13551,14919
Haiti,8413,9205,9649,10111
India,1006301,1090974,1173109,1251696
Kenya,30606,35247,40844,45926
Mexico,99776,106577,114062,121737
Morocco,28114,29901,31628,33323
New Zealand,3803,4049,4253,4439
Nigeria,123946,141190,160342,181563
Philippines,76452,84965,93137,100999
Poland,38655,38557,38617,38563
Russia,147054,143320,142527,142424
Saudi Arabia,21312,23643,25732,27753
Serbia,7605,7503,7345,7177
Solomon Islands,434,496,560,623
South Africa,44914,48105,51123,53676
Uganda,22917,26917,31508,37102
Ukraine,49014,47003,45769,44430
United States,282163,295517,309348,321369
